videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt
D6DVTLvOupE,音楽でリコーダー上手く吹けなくても、心の支えになる神曲です。,音楽でリコーダー上手く吹けなくても、心の支えになる神曲です。,ふみふみ,https://yt3.ggpht.com/X6v_sWRoMLZUsSphzzu3om6tDojCdF-X5QNg0zsPewxXbp3yoRocyO9IMNduw9y95XQpNXXJww=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCnTru9q7AXtTUnnDrcCp_0A,UCnTru9q7AXtTUnnDrcCp_0A,TRUE,none,206,2023-06-26T13:05:38Z,2023-06-26T13:05:38Z
D6DVTLvOupE,インターネット史に名が残る,インターネット史に名が残る,パウ江ch,https://yt3.ggpht.com/COks1s61m3y5c-l7UiiJ5ad_WdxFjJa47_n1nJsG63hhg260uAlNPXk_IUMBSrJ9FCCWVquwpQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCr2txBAbY1GXLhcU4LU7yDw,UCr2txBAbY1GXLhcU4LU7yDw,TRUE,none,1,2023-06-26T12:44:14Z,2023-06-26T12:44:14Z
D6DVTLvOupE,最高,最高,Ai Mizuki,https://yt3.ggpht.com/ytc/AOPolaSmzkgBy2al6rxl23CjcwMpNkxx4YzUNBpWuZuNSaPlnuiMT4rwYrVZ3nUgRaGR=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCZA2dnNaFLTTm0YX_Fp5uLQ,UCZA2dnNaFLTTm0YX_Fp5uLQ,TRUE,none,2,2023-06-26T11:17:39Z,2023-06-26T11:17:39Z
D6DVTLvOupE,すごく覚えやすい歌手だからいつも聞いて歌ってます頑張って下さい。！,"すごく覚えやすい歌手だからいつも聞いて歌ってます
頑張って下さい。！",山本清,https://yt3.ggpht.com/jwJKDdQ85Lj97iVreIqfA3c13OriA8fvhqxPl836AP4WNKHrxBFIOkOdXblgxEk5wp2kL-EpZQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCbMKD1fu_wEKm1ZSUObahrg,UCbMKD1fu_wEKm1ZSUObahrg,TRUE,none,2,2023-06-26T11:10:22Z,2023-06-26T11:10:22Z
D6DVTLvOupE,ローリングする犬みたいなあの生物をひざの上に乗せて撫でたい,ローリングする犬みたいなあの生物をひざの上に乗せて撫でたい,ドス黒パンケーキ,https://yt3.ggpht.com/8poswFZfGy56p_4M3PptQ189Oz7BgAyUs4WkDs8vtmwEfnjPT8yIRTMkirXHgTnfceFTCz1ndw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCTWKe8TkBdX5M5OCI1uI8bQ,UCTWKe8TkBdX5M5OCI1uI8bQ,TRUE,none,3,2023-06-26T10:30:28Z,2023-06-26T10:30:28Z
D6DVTLvOupE,三千万再生おめでとうございます！,三千万再生おめでとうございます！,Kairey,https://yt3.ggpht.com/tM4VO8E1mr7WfWmBmHHbz64dbYHfN6-8st2Splsqwf4x4H6X9vfIW3Ca5N0cvSchRhVa5HEcHA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC1wwfQoKhPT4uFfvcguJMtA,UC1wwfQoKhPT4uFfvcguJMtA,TRUE,none,7,2023-06-26T10:20:35Z,2023-06-26T10:20:35Z
D6DVTLvOupE,3000万回数おめでとうございます🎉,3000万回数おめでとうございます🎉,miho,https://yt3.ggpht.com/ytc/AOPolaRTwK9B5knPqQi1toKi1UzsuEimkX3F-IO4T29Yb-Q3o5CbPJ4qjnM0KWxWydkT=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCGUAs4Qia-v2pOTRU_XrhkA,UCGUAs4Qia-v2pOTRU_XrhkA,TRUE,none,7,2023-06-26T10:01:51Z,2023-06-26T10:01:51Z
D6DVTLvOupE,ぴ！とめのそん,ぴ！とめのそん,K N,https://yt3.ggpht.com/ytc/AOPolaRgoap61vQoL4L5eTRXgUIiXShi8yo6brWHHg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCk0RPdV9J9KqGdTIT3JHPZg,UCk0RPdV9J9KqGdTIT3JHPZg,TRUE,none,0,2023-06-26T09:10:23Z,2023-06-26T09:10:23Z
D6DVTLvOupE,友達が風邪引いて熱だして、冷たいもの食いまくって強制クールダウンしてたww,友達が風邪引いて熱だして、冷たいもの食いまくって強制クールダウンしてたww,スポーツマンシップ,https://yt3.ggpht.com/DXHLBcPAMEOZxrO6-QoEMqVoXScLaNWEaGlgNp2BJHrU6RDwgoqvjiC5h8-ejUCRJyXxgE2a=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCylMoCEQ-t6f45biWJUhTMg,UCylMoCEQ-t6f45biWJUhTMg,TRUE,none,2,2023-06-26T08:49:48Z,2023-06-26T09:24:01Z
D6DVTLvOupE,これさ風が世間の風潮みたいに捉えたらまた意味が深くなって面白い,"これさ
風が世間の風潮みたいに捉えたらまた意味が深くなって面白い",Garnet,https://yt3.ggpht.com/We2dGOpZXbtXVFVYsL0MGzrAMeB1SDJHx_XRS9rjS6xBfcpBQ7xfaSdMp8Wrvtlv0CHTQ-krwQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCLAJR0Wj9Qsb1aDqAZLLaYg,UCLAJR0Wj9Qsb1aDqAZLLaYg,TRUE,none,4,2023-06-26T08:11:22Z,2023-06-26T08:11:22Z
D6DVTLvOupE,俺髪ないわ,俺髪ないわ,ぜに,https://yt3.ggpht.com/MsAg7Uy4susgSMlzx4FlRvFyz987Sl7UG7NZDPI3Q2pNfE3KMdoiVIDkKWosa46PHcQlvlyr=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCqDmmeDllbj9A-XH9yk64yg,UCqDmmeDllbj9A-XH9yk64yg,TRUE,none,4,2023-06-26T07:27:46Z,2023-06-26T07:27:46Z
D6DVTLvOupE,すげ〜,すげ〜,ささうまとひろ,https://yt3.ggpht.com/IeufdCN8BQDB6YEKEb4c9Yof7zCeel6OHHR5IdmNLWYk25ApgGuyZUFP1nV82ODc8wQtQ8fE=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCTvbbsunS8UIHaTz9rxZ80Q,UCTvbbsunS8UIHaTz9rxZ80Q,TRUE,none,1,2023-06-26T07:13:21Z,2023-06-26T07:13:21Z
D6DVTLvOupE,55歳のおじさんの脳内無限ループ😆‼️,55歳のおじさんの脳内無限ループ😆‼️,じゃんぐるじむ,https://yt3.ggpht.com/2sPXf0VLFfw8_blwHrWdKMeSborqb8hmU4VJNkxq0UD3AokuaRChiYQqzxhZAg62x-zg7_WtCw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCuPgH_H-2cPJHmNwzAQlQEw,UCuPgH_H-2cPJHmNwzAQlQEw,TRUE,none,3,2023-06-26T06:29:00Z,2023-06-26T06:29:00Z
D6DVTLvOupE,体育祭の途中で急にこれ流れてきてビビったよねみんなで肩組んで応援合戦してる途中に流れてきて困惑した,"体育祭の途中で急にこれ流れてきてビビったよね
みんなで肩組んで応援合戦してる途中に流れてきて困惑した",みるつぃ《わかちゃん》,https://yt3.ggpht.com/ixNdArqOpiNEw8Qx_X9BUW8_IFKlm9VI6zUaAXHShkdua6UVyMT8yDhkpJLpZW8QUB2PWxTKiS0=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCL2FlM7r1jq5KCYW4V8OOIw,UCL2FlM7r1jq5KCYW4V8OOIw,TRUE,none,2,2023-06-26T06:21:58Z,2023-06-26T06:21:58Z
D6DVTLvOupE,3000万再生おめでとうございます！,3000万再生おめでとうございます！,赤先たもつ,https://yt3.ggpht.com/ytc/AOPolaQU8zBQoBv2QGdJn1b-zn0UsWpvjgU1yKro6Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCLrdaJEFLBWAmvrUfJ6x7MA,UCLrdaJEFLBWAmvrUfJ6x7MA,TRUE,none,9,2023-06-26T03:38:10Z,2023-06-26T03:38:10Z
